Seed,H1_max,H1_avg,H1_count,height_max,total_steps,stopping_time,max_value,odd_steps,max_consecutive_odds,sum_of_values,peak_ratio
75,0.41421353816986084,0.41421353816986084,2,6,14,8,340,4,1,1520.0,4.533333333333333
76,0.41421353816986084,0.41421353816986084,5,10,22,1,88,7,1,633.0,1.1578947368421053
77,0.41421353816986084,0.41421353816986084,5,10,22,3,232,7,1,925.0,3.012987012987013
78,0.41421353816986084,0.41421353816986084,6,15,35,1,304,12,1,2422.0,3.8974358974358974
79,0.41421353816986084,0.41421353816986084,5,19,35,13,808,12,1,4384.0,10.227848101265822
80,0.41421353816986084,0.41421353816986084,2,3,9,1,80,2,1,186.0,1.0
81,0.41421353816986084,0.41421353816986084,4,8,22,3,244,7,1,1463.0,3.0123456790123457
82,1.0,0.42780156930287677,30,38,110,1,9232,41,1,101413.0,112.58536585365853
83,1.0,0.4269523173570633,32,40,110,6,9232,41,1,102095.0,111.2289156626506
84,0.41421353816986084,0.41421353816986084,1,4,9,1,84,2,1,274.0,1.0
85,0.41421353816986084,0.41421353816986084,1,6,9,3,256,2,1,596.0,3.011764705882353
86,0.41421353816986084,0.41421353816986084,8,8,30,1,196,10,1,1424.0,2.2790697674418605
87,0.41421353816986084,0.41421353816986084,7,12,30,8,592,10,1,2716.0,6.804597701149425
88,0.41421353816986084,0.41421353816986084,3,6,17,1,88,5,1,413.0,1.0
89,0.41421353816986084,0.41421353816986084,6,15,30,3,304,10,1,1950.0,3.4157303370786516
90,0.41421353816986084,0.41421353816986084,4,8,17,1,136,5,1,587.0,1.511111111111111
91,0.41421353816986084,0.40706466138362885,24,36,92,73,9232,34,1,98522.0,101.45054945054945
92,0.41421353816986084,0.41421353816986084,2,5,17,1,160,5,1,771.0,1.7391304347826086
93,0.41421353816986084,0.41421353816986084,3,6,17,3,280,5,1,1123.0,3.010752688172043
94,1.0,0.428270122100567,29,38,105,1,9232,39,1,101073.0,98.2127659574468
95,0.6055512428283691,0.4119691627996939,27,38,105,13,9232,39,1,104845.0,97.17894736842105
96,0.41421353816986084,0.41421353816986084,2,4,12,1,96,3,1,235.0,1.0
97,0.41421353816986084,0.40986852529572276,41,44,118,3,9232,44,1,103254.0,95.17525773195877
98,0.41421353816986084,0.41421353816986084,5,8,25,1,148,8,1,904.0,1.510204081632653
99,0.41421353816986084,0.41421353816986084,3,10,25,6,448,8,1,1716.0,4.525252525252525
100,0.41421353816986084,0.41421353816986084,5,11,25,1,100,8,1,808.0,1.0
101,0.41421353816986084,0.41421353816986084,5,13,25,3,304,8,1,1190.0,3.00990099009901
102,0.41421353816986084,0.41421353816986084,5,12,25,1,232,8,1,1232.0,2.2745098039215685
103,0.41421353816986084,0.41421353816986084,22,36,87,68,9232,32,1,97402.0,89.63106796116504
104,0.41421353816986084,0.41421353816986084,2,6,12,1,104,3,1,301.0,1.0
105,0.41421353816986084,0.41421353816986084,6,19,38,3,808,13,1,4963.0,7.695238095238095
106,0.41421353816986084,0.41421353816986084,2,5,12,1,160,3,1,505.0,1.509433962264151
107,1.0,0.4287721429552351,28,36,100,8,9232,37,1,100505.0,86.2803738317757
108,1.0,0.42780156930287677,30,38,113,1,9232,42,1,101602.0,85.48148148148148
109,1.0,0.42736324571794077,31,39,113,3,9232,42,1,102014.0,84.69724770642202
110,0.41421353816986084,0.4091236659458705,35,42,113,1,9232,42,1,102426.0,83.92727272727272
111,0.41421353816986084,0.41421353816986084,18,32,69,50,9232,25,1,86149.0,83.17117117117117
112,0.41421353816986084,0.41421353816986084,3,7,20,1,112,6,1,498.0,1.0
113,0.41421353816986084,0.41421353816986084,2,6,12,3,340,3,1,1219.0,3.0088495575221237
114,0.41421353816986084,0.41421353816986084,10,8,33,1,196,11,1,1767.0,1.719298245614035
115,0.41421353816986084,0.41421353816986084,8,12,33,6,520,11,1,2709.0,4.521739130434782
116,0.41421353816986084,0.41421353816986084,5,8,20,1,116,6,1,616.0,1.0
117,0.41421353816986084,0.41421353816986084,3,9,20,3,352,6,1,1058.0,3.0085470085470085
118,0.41421353816986084,0.41421353816986084,6,15,33,1,304,11,1,2305.0,2.5762711864406778
119,0.41421353816986084,0.41421353816986084,5,19,33,8,808,11,1,4067.0,6.7899159663865545
